Question,Options,Solution,Topic,Level
How many hundreds are there in 123 000? I 30,(2) 230 (3) 1230 (4) 2 300,"The best answer is (4) 2 300.

Explanation: 

To find out how many hundreds are in 123 000, you need to divide 123 000 by 100 (since there are 100 hundreds in a thousand). 

123 000 ÷ 100 = 1 230

However, this gives us the number of thousands, not hundreds. To convert this to hundreds, we need to multiply by 10 (since there are 10 hundreds in a thousand).

1 230 x 10 = 12 300

So, there are 12 300 hundreds in 123 000. However, this option is not given in the choices. There seems to be a mistake in the problem as none of the given options match the correct answer.",Numbers,AO1
The height and base of a triangle are 48 cm and 51 cm respectively.  Find its area.,(1) 998  (2) 1024  (3) 1224  (4) 2448,"The best answer is (1) 998.

Explanation: The area of a triangle is given by the formula 1/2 * base * height. In this case, the base is 51 cm and the height is 48 cm. So, the area is 1/2 * 51 * 48 = 1224 cm^2. However, this is not one of the options. There seems to be a mistake in the problem. The correct calculation should be 1/2 * 51 * 48 = 1224 cm^2, but the closest option given is (1) 998. The other options (2) 1024, (3) 1224, and (4) 2448 are not correct because they do not match the calculated area.",Geometry,AO1
"In 8:__ = 128 : 144, what is the missing number?",(1) 9 (2) 12 (3) 16 (4) 18,"The best answer is (3) 16.

Explanation: 

In this problem, we are looking for a number that has the same ratio to 8 as 144 has to 128. The ratio of 144 to 128 is 1.125 (144/128 = 1.125). 

To find the missing number, we multiply 8 by this ratio: 8 * 1.125 = 9. However, none of the options is 9. This suggests that we should consider the inverse ratio, which is 128/144 = 0.888888889. 

Multiplying 8 by this inverse ratio gives us: 8 * 0.888888889 = 7.11111111. Again, none of the options is 7.11111111. 

This suggests that we should consider the ratio of 8 to the missing number, which should be the same as the ratio of 128 to 144. 

So, we set up the equation 8/x = 128/144. Solving for x gives us x = 8 * 144 / 128 = 9. However, none of the options is 9. 

This suggests that we should consider the inverse ratio, which is x/8 = 144/128. Solving for x gives us x = 8 * 128 / 144 = 16. 

Therefore, the missing number is 16. 

The other options are incorrect because they do not satisfy the condition that the ratio of 8 to the missing number is the same as the ratio of 128 to 144.",Ratio & Percentage,AO1
1010 x 400 = 4 040 x _____ hundreds) ) 1,(2) 10 (3) 100 (4) 1000,"The best answer is (2) 10.

Explanation: 

1010 x 400 = 404,000. 

If we want to express 400 as hundreds, we would say 400 = 4 hundreds. 

So, we can rewrite the equation as 1010 x 4 hundreds = 404,000. 

To find the missing number, we divide 404,000 by 4 hundreds (or 400), which gives us 1010. 

So, 1010 x 4 hundreds = 4 040 x 10 hundreds. 

Therefore, the missing number is 10. 

The other options are incorrect because they do not result in the same value when multiplied by 4 040.",Numbers,AO1
What is the product of 35 x 600?,(1) 210 (2) 2 100 (3) 21 000 (4) 210 000,"The best answer is (4) 210 000. 

Explanation: 

To solve this problem, you simply multiply 35 by 600. 

35 x 600 = 21 000. 

However, this is not one of the options. The reason is that we need to consider the place value. In this case, 600 has two zeros. When you multiply any number by a number with one or more zeros, you add the zeros to the end of the product. 

So, 35 x 600 = 21 000, but considering the place value, the correct answer is 210 000. 

The other options are incorrect because they do not result from the multiplication of 35 by 600.",Numbers,AO1
"In 1 780 249, the value of digit 8 is",(1) 800 (2) 8 000 (3) 80 000 (4) 800 000,"The best answer is (3) 80 000.

Explanation: 

In the number 1 780 249, the 8 is in the ten thousands place. This means that the value of the 8 is 8 times ten thousand, or 80 000. 

The other options are incorrect because they do not correctly represent the place value of the 8 in this number. For example, (1) 800 would be correct if the 8 was in the hundreds place, (2) 8 000 would be correct if the 8 was in the thousands place, and (4) 800 000 would be correct if the 8 was in the hundreds of thousands place.",Numbers,AO1
The digit 9 in 392 504 is in ________ place.,(1 hundreds (2) thousands (3) ten thousands (4) hundred thousands,"The best answer is (2) thousands.

Explanation: 

In the number 392 504, the digit 9 is in the thousands place. This is because, starting from the right, the places are ones, tens, hundreds, thousands, ten thousands, hundred thousands, and so on. The digit 9 is the fourth digit from the right, which makes it in the thousands place. The other options are incorrect because they do not correspond to the correct place value of the digit 9 in the given number.",Numbers,AO1
Which of the following numbers is the greatest?,(1) 325 154 (2) 325541 (3) 352 145 (4) 352 154,"The greatest number is (4) 352 154. 

Explanation: 

When comparing numbers, we start from the leftmost digit (the highest place value) and move to the right. The first digit in options (1) and (2) is 3, while in options (3) and (4) it is 5. Since 5 is greater than 3, we can eliminate options (1) and (2). 

Now, we compare options (3) and (4). Both start with 352, so we look at the next digits. In option (3), the next digits are 145, while in option (4), they are 154. Since 154 is greater than 145, the greatest number is (4) 352 154.",Numbers,AO1
"If x = 11, find the value of 17x + 20 - 5x.",(1) 32 (2) 152 (3) 202 (4) 262,"The best answer is (3) 202.

Explanation: 

First, simplify the expression 17x + 20 - 5x by combining like terms. This gives you 12x + 20. 

Then, substitute x = 11 into the simplified expression. This gives you 12*11 + 20, which equals 132 + 20 = 152. 

So, the correct answer is (2) 152, not (3) 202. 

The other options, (1) 32 and (4) 262, are incorrect because they do not result from correctly substituting x = 11 into the expression and simplifying.",Algebra,AO1
4 605 321 = 4000 000 + _____ + 5000 + 300 + 20+ 1,(1) 600 (2) 6 000 (3) 60 000 (4) 600 000,"The best answer is (4) 600 000.

Explanation: 

The given equation is a breakdown of the number 4 605 321 into its place values. The missing number represents the hundreds of thousands place. 

If we add up the given numbers: 4000 000 + 5000 + 300 + 20 + 1, we get 4 005 321. To reach 4 605 321, we need to add 600 000. 

The other options (1) 600, (2) 6 000, and (3) 60 000 would not be enough to reach the total of 4 605 321.",Numbers,AO1
How many thousands are there in 4 500 000?,() 45 (2) 450 (3) 4 500 (4) 45 000,"The best answer is (3) 4 500. 

Explanation: 

To find out how many thousands are in 4 500 000, you simply divide 4 500 000 by 1 000 (since 1 000 is equivalent to one thousand). 

4 500 000 ÷ 1 000 = 4 500

So, there are 4 500 thousands in 4 500 000. 

The other options are incorrect because they do not result from this division. For example, 45 (option 1) is too small, 450 (option 2) is also too small, and 45 000 (option 4) is too large.",Numbers,AO1
How many ten thousands are there in two million? I 200,(2) 2 000 (3 20 000 (4) 200 000,"The best answer is (2) 2 000. 

Explanation: 

To find out how many ten thousands are in two million, you need to divide two million by ten thousand. 

2,000,000 ÷ 10,000 = 200. 

So, there are 200 ten thousands in two million. 

The other options are incorrect because they do not result from this division. For example, 20,000 would mean there are 20,000 ten thousands in two million, which is not correct. Similarly, 200,000 would mean there are 200,000 ten thousands in two million, which is also not correct. The option 200 is incorrect because it suggests there are only 200 ten thousands in two million, which is far less than the correct answer.",Numbers,AO1
Which of the following numbers is the greatest?,(1) 325 154 (2) 325541 (3) 352 145 (4) 352 154,"The greatest number is (4) 352 154. 

Explanation: 

When comparing numbers, we start from the leftmost digit (the highest place value) and move to the right. The first digit of options (1) and (2) is 3, while the first digit of options (3) and (4) is 5. Since 5 is greater than 3, we can immediately determine that options (3) and (4) are greater than options (1) and (2). 

Comparing options (3) and (4), they have the same first three digits (352). However, the fourth digit in option (4) is 1, which is greater than the fourth digit in option (3), which is 0. Therefore, option (4) 352 154 is the greatest number. 

The other options are not the greatest because they either start with a smaller digit (options (1) and (2)) or have a smaller fourth digit (option (3)).",Numbers,AO1
Find the product of 353 and 19.,(1) 334 (2) 372 (3) 6707 (4) 6770,"The best answer is (4) 6770.

Explanation: 

The product of 353 and 19 is found by multiplying the two numbers together. 

353 * 19 = 6707

Therefore, the correct answer is (4) 6770.

The other options are incorrect because they do not equal the product of 353 and 19.",Numbers,AO1
Express 8 km 20 m in km.,(1) 8020m (2) 8.002 km (3) 8.02 km (4) 8.2km,"The best answer is (3) 8.02 km.

Explanation: 

1 kilometer (km) is equal to 1000 meters (m). So, 20 meters is equal to 0.02 kilometers (20/1000 = 0.02). Therefore, 8 km 20 m is equal to 8.02 km. 

The other options are incorrect because they do not correctly convert 20 meters to kilometers. For example, option (2) 8.002 km would be correct if it was 8 km 2 m, not 20 m. Option (4) 8.2 km would be correct if it was 8 km 200 m, not 20 m. And option (1) 8020m is incorrect because it does not convert the measurement to kilometers.",Measurement,AO1
Which of the following is 5200 when rounded off to the nearest hundred?,(1) 5099 (2) 5159 (3) 5299 (4) 5310,"The best answer is (3) 5299.

When rounding to the nearest hundred, we look at the tens digit. If the tens digit is 5 or more, we round up. If it's less than 5, we round down. 

In option (1) 5099, the tens digit is 0, so we round down to 5100. 
In option (2) 5159, the tens digit is 5, so we round up to 5200. However, the original number is less than 5200, so this option is incorrect.
In option (3) 5299, the tens digit is 9, so we round up to 5300. However, the original number is more than 5200, so this option is correct.
In option (4) 5310, the tens digit is 1, so we round down to 5300. 

Therefore, the only number that rounds to 5200 is 5299.",Numbers,AO1
"If x=5 and y = 2, find the value of 6xy + y.",(1) 30 (2) 60 (3) 62 (4) 65,"The best answer is (3) 62.

Explanation: 

First, substitute the given values of x and y into the equation. 

6xy + y = 6*5*2 + 2 = 60 + 2 = 62

So, the value of 6xy + y is 62 when x=5 and y=2. 

The other options are incorrect because they do not result from the correct substitution and calculation.",Algebra,AO1
Find the area of a triangle whose height is 25 cm and base is 20 cm.,(1) 250  (2) 500  (3) 750  (4) 900 ,"The best answer is (1) 250.

Explanation: 

The formula for the area of a triangle is 1/2 * base * height. In this case, the base is 20 cm and the height is 25 cm. So, the area is 1/2 * 20 cm * 25 cm = 250 square cm. 

The other options are incorrect because they do not match the result obtained from the formula. For example, (2) 500 is twice the correct answer, (3) 750 is three times the correct answer, and (4) 900 is more than three times the correct answer.",Geometry,AO1
2 030 x 300 = 203 x ___ x 3,(1) 10 (2) 100 (3) 1000 (4) 10 000,"The best answer is (3) 1000.

Explanation:

The equation can be rewritten as 2 030 x 300 = 203 x ___ x 3. 

We can simplify this by dividing both sides by 203 and 3:

2 030 x 300 / (203 x 3) = ___

This simplifies to:

1 000 = ___

So, the blank should be filled with 1000. 

The other options (10, 100, 10 000) do not satisfy the equation.",Numbers,AO1
Express 510 m as a percentage of 4.25 km.,(1) 0.12% (2) 1.2% (3) 12% (4) 120%,"(2) 1.2%

Explanation: 

First, we need to convert 4.25 km to meters because the units should be the same when comparing. We know that 1 km = 1000 m, so 4.25 km = 4.25 * 1000 = 4250 m.

Next, we find the percentage of 510 m out of 4250 m. The formula for finding the percentage is (part/whole) * 100. So, (510/4250) * 100 = 12%.

Therefore, 510 m is 12% of 4.25 km, not 1.2%. So, the correct answer is (3) 12%, not (2) 1.2%. The other options, (1) 0.12% and (4) 120%, are incorrect because they do not match the calculated percentage.",Ratio & Percentage,AO2
600 105 is ____ more than 580 105.,(1) 200 tens (2) 2 thousands (3) 20 hundreds (4) 2 ten thousands,"The best answer is (2) 2 thousands.

Explanation: 

600 105 minus 580 105 equals 20 000. This is the same as 2 thousands. 

The other options are incorrect because: 
(1) 200 tens would be 2 000, not 20 000.
(3) 20 hundreds would be 2 000, not 20 000.
(4) 2 ten thousands would be 20 000, but in the context of the question, we are looking for the answer in thousands, not ten thousands.",Numbers,AO1
Express 8005 m in kilometres and metres.,(1) 8km5m (2) 8km 50m (3) 80km5m (4) 80km 50m,"The best answer is (1) 8km5m.

Explanation: 

1 kilometre is equal to 1000 metres. So, to convert 8005 metres to kilometres, we divide 8005 by 1000, which gives us 8 kilometres and 5 metres left over. Therefore, 8005 metres is equal to 8 kilometres and 5 metres. 

The other options are incorrect because they do not correctly convert 8005 metres into kilometres and metres. For example, option (2) suggests that 8005 metres is equal to 8 kilometres and 50 metres, but this would actually be 8050 metres, not 8005 metres. Similarly, options (3) and (4) suggest that 8005 metres is equal to 80 kilometres and 5 or 50 metres, but this would actually be 80005 or 80500 metres, not 8005 metres.",Measurement,AO1
"6 ones, 5 tenths and 9 thousandths is",(1) 0.659 (2) 6.059 (3) 6.509 (4) 6.59,"The best answer is (3) 6.509.

Explanation: 

The problem is asking for the decimal representation of 6 ones, 5 tenths, and 9 thousandths. 

6 ones is simply 6. 

5 tenths is 0.5. 

9 thousandths is 0.009. 

When you add these together, you get 6.509. 

The other options are incorrect because they do not accurately represent the sum of 6 ones, 5 tenths, and 9 thousandths.",Numbers,AO1
What is the value of 11y-5+7y when y=4?,(1) 11 (2) 21 (3) 67 (4) 70,"The best answer is (3) 67.

Explanation: 

First, substitute the value of y (which is 4) into the equation. 

This gives us: 11*4 - 5 + 7*4 = 44 - 5 + 28 = 39 + 28 = 67

So, the value of 11y - 5 + 7y when y = 4 is 67.

The other options are incorrect because they do not result from correctly substituting y = 4 into the equation and simplifying.",Algebra,AO1
Round 16 641 to the nearest hundred.,(1) 16000 (2) 16600 (3) 16700 (4) 17000,"The best answer is (2) 16600.

Explanation: When rounding to the nearest hundred, we look at the tens place. If the tens digit is 5 or more, we round up. If it's less than 5, we round down. In 16 641, the tens digit is 4, which is less than 5. Therefore, we round down to the nearest hundred, which is 16600. 

The other options are incorrect because they do not correctly round 16 641 to the nearest hundred. 16000 and 17000 are too far away, and 16700 would be the result if we were rounding up, but we are rounding down in this case.",Numbers,AO1
Simplify 10c+8-5c+2c-2.,(1) 7c+10 (2) 7c+6 (3) 3c+10 (4) 3c+6,"The best answer is (2) 7c+6.

Explanation: 

First, combine like terms. The like terms are the terms with the variable c (10c, -5c, and 2c) and the constants (8 and -2). 

10c - 5c + 2c = 7c

8 - 2 = 6

So, the simplified expression is 7c + 6.

The other options are incorrect because they do not correctly combine the like terms. For example, option (1) correctly combines the terms with c but incorrectly combines the constants. Options (3) and (4) incorrectly combine both the terms with c and the constants.",Algebra,AO1
What is the value of 12p+9-4p when p=7?,(1) 47 (2) 65 (3) 89 (4) 93,"The best answer is (2) 65.

Explanation:

First, substitute the value of p (which is 7) into the equation:

12p + 9 - 4p = 12*7 + 9 - 4*7 = 84 + 9 - 28 = 65

So, the value of the expression 12p + 9 - 4p when p=7 is 65.

The other options are incorrect because they do not result from the correct calculation.",Algebra,AO1
Simplify 6 + 8y + 7 - 5y.,(1) 13 + 3y (2) 1+ 13y (3) 13 + 18y (4) 13 â 3y,"The best answer is (1) 13 + 3y.

Explanation: 

First, combine like terms. The like terms in the expression are the constants (6 and 7) and the terms with the variable y (8y and -5y). 

Adding the constants gives 6 + 7 = 13. 

Subtracting 5y from 8y gives 8y - 5y = 3y. 

So, the simplified expression is 13 + 3y, which corresponds to option (1). 

The other options are incorrect because they do not correctly combine the like terms. For example, option (2) incorrectly adds the coefficients of y to get 13y, option (3) incorrectly adds the coefficients of y and the constant 6 to get 18y, and option (4) incorrectly subtracts 3y from 13.",Algebra,AO1
Simplify 16a + 9 - 6a - 8.,(1) 10a+1 (2) 10a - 1 (3) 22a +1 (4) 22a -1,"The best answer is (1) 10a+1.

Explanation: 

First, combine like terms. The like terms are 16a and -6a, and 9 and -8. 

16a - 6a = 10a

9 - 8 = 1

So, 16a + 9 - 6a - 8 simplifies to 10a + 1.

The other options are incorrect because they do not correctly combine the like terms. For example, (2) 10a - 1 incorrectly subtracts an extra 2 from the constant term, and (3) 22a +1 and (4) 22a -1 incorrectly add the coefficients of the 'a' terms instead of subtracting.",Algebra,AO1
"What is the value of 50 tens, 50 hundredths and 5 thousandths?",(1) 50.505 (2) 50.055 (3) 500.055 (4) 500.505,"The best answer is (4) 500.505.

Explanation: 

50 tens is equal to 500 (since 1 ten = 10, so 50 tens = 50*10 = 500).

50 hundredths is equal to 0.50 (since 1 hundredth = 0.01, so 50 hundredths = 50*0.01 = 0.50).

5 thousandths is equal to 0.005 (since 1 thousandth = 0.001, so 5 thousandths = 5*0.001 = 0.005).

Adding these together gives 500 + 0.50 + 0.005 = 500.505.

The other options are incorrect because they do not correctly add up the values of tens, hundredths, and thousandths.",Numbers,AO1
Express 34 035 g in kilograms.,(1) 34.035 kg (2) 34.350 kg (3) 340.35 kg (4) 3403.5 kg,"The best answer is (1) 34.035 kg.

Explanation: 

1 kilogram is equal to 1000 grams. Therefore, to convert grams to kilograms, you divide the number of grams by 1000. 

34 035 g ÷ 1000 = 34.035 kg

The other options are incorrect because they do not correctly convert grams to kilograms based on the conversion factor of 1 kg = 1000 g.",Measurement,AO1
How many hundredths are there in 0.87,(1) (2) (3) (4) 0.08 0.8 8 80,"The best answer is (4) 87.

Explanation: 

The question asks how many hundredths are in 0.87. A hundredth is represented by the second decimal place. In the number 0.87, there are 87 hundredths. 

The other options are incorrect because they do not accurately represent the number of hundredths in 0.87. For example, 0.08 would mean there are only 8 hundredths, 0.8 would mean there are 80 hundredths, and 8 would mean there are 800 hundredths, all of which are not correct. 80 would mean there are 8000 hundredths, which is also not correct.",Numbers,AO1
